id;filename;bucket_name;object_name;content_type;file_size;uploaded_by;created_at;updated_at;is_active
1;disgust waffle;but;vainly;till;29448;short-term nursery;2024-06-14T21:01:35;2024-06-15T00:29:35;true
2;design;once;checkroom dock smooch;till concerning unto;23671;majestically elevator ouch;2024-06-15T07:38:10;2024-06-14T14:03:15;false
3;weakly crow indeed;ha;bottling classic;high-rise only infinite;2464;extremely around;2024-06-14T16:33:46;2024-06-14T15:42:32;false
4;trusting;uh-huh instead;obediently woot;uh-huh although hm;18069;reveal;2024-06-14T16:54:41;2024-06-15T00:26:02;true
5;before;eek since as;whose after;greedily tweet;21741;instantly vacantly unlike;2024-06-14T18:11:15;2024-06-15T03:51:32;false
6;via outsell;swordfish while;excepting;excepting mid;6412;greatly phooey;2024-06-14T14:51:43;2024-06-14T15:35:49;true
7;bracket expatiate verbalize;powerfully anenst;tinkling yum considering;fervently in;221;broil hole friction;2024-06-14T11:27:05;2024-06-14T12:09:49;false
8;ruby dearly whose;valiantly dimly strangle;immense eavesdrop qua;furthermore;11582;zigzag bomb cheerfully;2024-06-14T21:58:19;2024-06-14T21:19:54;false
9;blah ill;deeply;only hurry untimely;legalize;45;bonk pungent unto;2024-06-15T06:36:14;2024-06-15T08:15:04;false
10;gutter whoever;uh-huh beanstalk direct;knead garner;ambitious;15865;trusty;2024-06-14T18:52:09;2024-06-15T05:30:12;true
