id;file_id;key;value;created_at;updated_at
1;mixed till;mmm which;vacantly helpful;2024-06-15T05:53:36;2024-06-14T13:45:43
2;where apud where;lobby;answer defiantly;2024-06-14T16:33:57;2024-06-14T18:47:49
3;creamy duh pry;grasshopper;hence longingly;2024-06-14T17:03:56;2024-06-14T15:55:28
4;long-term neatly eek;blah highly;alluvium;2024-06-14T16:19:26;2024-06-14T23:09:07
5;hmph atop mosey;presell;vainly;2024-06-15T05:07:45;2024-06-15T03:19:09
6;politely ugh gah;near;oh dearly phooey;2024-06-14T15:53:42;2024-06-15T05:17:33
7;needily;traumatize;zowie perfectly;2024-06-14T23:49:36;2024-06-15T07:21:01
8;official;fifth;ah willfully fooey;2024-06-14T22:47:20;2024-06-15T09:05:37
9;hoarse drain plus;scow within times;following boyfriend;2024-06-15T01:47:27;2024-06-14T17:54:19
10;yuck versus evaporate;abaft wheel qua;as;2024-06-14T22:33:12;2024-06-14T19:21:52
