id;name;created_at;updated_at;is_active
1;ouch by;2024-06-15T08:16:21;2024-06-15T06:16:04;false
2;knight realistic;2024-06-15T00:31:59;2024-06-15T07:48:20;false
3;with forenenst;2024-06-14T15:07:15;2024-06-15T04:52:50;false
4;stem;2024-06-14T19:53:01;2024-06-14T12:57:55;true
5;against;2024-06-14T22:32:09;2024-06-14T23:51:43;true
6;commentate;2024-06-15T07:49:15;2024-06-15T08:18:06;true
7;anenst yum;2024-06-14T13:52:56;2024-06-15T07:54:17;false
8;admit throughout monitor;2024-06-15T05:46:42;2024-06-15T06:49:53;false
9;whereas;2024-06-15T07:08:53;2024-06-15T05:47:09;true
10;zowie before;2024-06-15T03:15:11;2024-06-14T21:13:47;false
